ID;LATITUDE;LONGITUDE;Mun/UF;MUNICIPIO;UF;Valor
3225;-25,36;-49,45;CAMPO MAGRO - PR;CAMPO MAGRO;PR;111523,407984256
3226;-24,04;-52,38;CAMPO MOURAO - PR;CAMPO MOURAO;PR;479622,990244086
3227;-24,56;-51,33;CANDIDO DE ABREU - PR;CANDIDO DE ABREU;PR;125254,79541527
3228;-25,66;-52,12;CANDOI - PR;CANDOI;PR;86122,6657576446
3229;-25,37;-52,12;CANTAGALO - PR;CANTAGALO;PR;81895,7642075403
3230;-25,67;-53,8;CAPANEMA - PR;CAPANEMA;PR;125227,659453593
3231;-25,47;-53,61;CAPITAO LEONIDAS MARQUES - PR;CAPITAO LEONIDAS MARQUES;PR;109038,252907455
3232;-24,91;-50,09;CARAMBEI - PR;CARAMBEI;PR;78562,3510850993
3233;-23,42;-49,72;CARLOPOLIS - PR;CARLOPOLIS;PR;77632,8771292073
3234;-24,95;-53,45;CASCAVEL - PR;CASCAVEL;PR;1492980,99039429
3235;-24,79;-50,01;CASTRO - PR;CASTRO;PR;374254,571321196
3236;-25,2;-53,15;CATANDUVAS - PR;CATANDUVAS;PR;69931,6096933015
3237;-22,82;-51,59;CENTENARIO DO SUL - PR;CENTENARIO DO SUL;PR;85950,3295269146
3238;-24,82;-49,26;CERRO AZUL - PR;CERRO AZUL;PR;116292,498775169
3239;-25,14;-53,84;CEU AZUL - PR;CEU AZUL;PR;70517,1157044704
3240;-25,85;-52,52;CHOPINZINHO - PR;CHOPINZINHO;PR;123877,966518033
3241;-23,66;-52,6;CIANORTE - PR;CIANORTE;PR;324981,919097859
3242;-23,38;-52,94;CIDADE GAUCHA - PR;CIDADE GAUCHA;PR;62795,5124245831
3243;-26,39;-52,47;CLEVELANDIA - PR;CLEVELANDIA;PR;114189,245089151
3244;-25,29;-49,22;COLOMBO - PR;COLOMBO;PR;964857,297952038
3245;-22,83;-51,97;COLORADO - PR;COLORADO;PR;138683,007004299
3246;-23,55;-50,55;CONGONHINHAS - PR;CONGONHINHAS;PR;51045,5180466655
3247;-23,63;-50,16;CONSELHEIRO MAIRINCK - PR;CONSELHEIRO MAIRINCK;PR;22564,1110629599
3248;-25,67;-49,53;CONTENDA - PR;CONTENDA;PR;76596,470507056
3249;-24,79;-53,3;CORBELIA - PR;CORBELIA;PR;106151,287215657
3250;-23,18;-50,64;CORNELIO PROCOPIO - PR;CORNELIO PROCOPIO;PR;306320,115042131
3251;-26,22;-52,03;CORONEL DOMINGOS SOARES - PR;CORONEL DOMINGOS SOARES;PR;39621,7313419298
