ID;LATITUDE;LONGITUDE;Mun/UF;MUNICIPIO;UF;Valor
2248;-23,89;-55,43;PARANHOS - MS;PARANHOS;MS;62661,1771873284
2249;-18,1;-54,55;PEDRO GOMES - MS;PEDRO GOMES;MS;53850,1758002254
2250;-22,53;-55,72;PONTA PORA - MS;PONTA PORA;MS;357370,625233087
2251;-21,69;-57,88;PORTO MURTINHO - MS;PORTO MURTINHO;MS;73609,4537738547
2252;-20,44;-53,75;RIBAS DO RIO PARDO - MS;RIBAS DO RIO PARDO;MS;87339,0982842772
2253;-21,8;-54,54;RIO BRILHANTE - MS;RIO BRILHANTE;MS;128137,230016838
2254;-19,44;-54,98;RIO NEGRO - MS;RIO NEGRO;MS;33380,9585449439
2255;-18,91;-54,84;RIO VERDE DE MATO GROSSO - MS;RIO VERDE DE MATO GROSSO;MS;110691,79743617
2256;-19,95;-54,89;ROCHEDO - MS;ROCHEDO;MS;25635,7959265511
2257;-21,3;-52,83;SANTA RITA DO PARDO - MS;SANTA RITA DO PARDO;MS;39591,5455562505
2258;-19,39;-54,56;SAO GABRIEL DO OESTE - MS;SAO GABRIEL DO OESTE;MS;94325,9926853059
2259;-20,36;-51,41;SELVIRIA - MS;SELVIRIA;MS;42133,8108172164
2260;-23,97;-55,03;SETE QUEDAS - MS;SETE QUEDAS;MS;110193,604049927
2261;-20,93;-54,96;SIDROLANDIA - MS;SIDROLANDIA;MS;126389,621838173
2262;-17,57;-54,75;SONORA - MS;SONORA;MS;58836,147114359
2263;-23,63;-55,01;TACURU - MS;TACURU;MS;48429,9335472797
2264;-22,48;-53,35;TAQUARUSSU - MS;TAQUARUSSU;MS;25743,6108148327
2265;-20,44;-54,86;TERENOS - MS;TERENOS;MS;63829,771157312
2266;-20,75;-51,67;TRES LAGOAS - MS;TRES LAGOAS;MS;455153,134934902
2267;-22,4;-54,43;VICENTINA - MS;VICENTINA;MS;41566,957578903
2268;-15,2;-56,36;ACORIZAL - MT;ACORIZAL;MT;36617,6886861969
2269;-14,05;-52,15;AGUA BOA - MT;AGUA BOA;MT;98172,9795814911
2270;-9,87;-56,08;ALTA FLORESTA - MT;ALTA FLORESTA;MT;279137,20185423
2271;-17,31;-53,21;ALTO ARAGUAIA - MT;ALTO ARAGUAIA;MT;71430,6974148664
2272;-11,67;-51,38;ALTO BOA VISTA - MT;ALTO BOA VISTA;MT;33479,2833735079
2273;-16,94;-53,52;ALTO GARCAS - MT;ALTO GARCAS;MT;50169,2549265728
2274;-14,51;-56,48;ALTO PARAGUAI - MT;ALTO PARAGUAI;MT;68234,555858146
2275;-17,82;-53,28;ALTO TAQUARI - MT;ALTO TAQUARI;MT;21317,8903725756
2276;-9,54;-57,44;APIACAS - MT;APIACAS;MT;42159,7319429924
2277;-15,73;-51,83;ARAGUAIANA - MT;ARAGUAIANA;MT;21111,9590422324
2278;-16,85;-53,03;ARAGUAINHA - MT;ARAGUAINHA;MT;8733,82571929491
2279;-15,47;-58,35;ARAPUTANGA - MT;ARAPUTANGA;MT;80532,0944081648
2280;-14,45;-56,84;ARENAPOLIS - MT;ARENAPOLIS;MT;78506,2433299499
2281;-10,16;-59,45;ARIPUANA - MT;ARIPUANA;MT;102096,81153923
2282;-16,27;-55,95;BARAO DE MELGACO - MT;BARAO DE MELGACO;MT;47553,2899726939
2283;-15,07;-57,18;BARRA DO BUGRES - MT;BARRA DO BUGRES;MT;141462,141631301
2284;-15,89;-52,25;BARRA DO GARCAS - MT;BARRA DO GARCAS;MT;321132,064399344
2285;-12,15;-57,97;BRASNORTE - MT;BRASNORTE;MT;61967,175627662
2286;-16,07;-57,67;CACERES - MT;CACERES;MT;460150,327381023
2287;-14,51;-52,89;CAMPINAPOLIS - MT;CAMPINAPOLIS;MT;81502,4846112686
2288;-13,67;-57,89;CAMPO NOVO DO PARECIS - MT;CAMPO NOVO DO PARECIS;MT;87256,1421658622
2289;-15,54;-55,16;CAMPO VERDE - MT;CAMPO VERDE;MT;69827,3547790976
2290;-13,89;-59,14;CAMPOS DE JULIO - MT;CAMPOS DE JULIO;MT;9229,06235326553
2291;-11,05;-51,83;CANABRAVA DO NORTE - MT;CANABRAVA DO NORTE;MT;41271,9836307298
2292;-13,55;-52,16;CANARANA - MT;CANARANA;MT;86438,1698024186
2293;-9,95;-55,83;CARLINDA - MT;CARLINDA;MT;104226,402449921
2294;-11,13;-58,6;CASTANHEIRA - MT;CASTANHEIRA;MT;52940,2911380569
2295;-15,46;-55,75;CHAPADA DOS GUIMARAES - MT;CHAPADA DOS GUIMARAES;MT;101949,517648286
2296;-11,51;-54,89;CLAUDIA - MT;CLAUDIA;MT;61380,5444409443
2297;-14,39;-50,99;COCALINHO - MT;COCALINHO;MT;37048,5136778508
2298;-10,81;-55,45;COLIDER - MT;COLIDER;MT;174473,143333324
2299;-13,66;-59,78;COMODORO - MT;COMODORO;MT;76850,7923724398
2300;-10,64;-51,56;CONFRESA - MT;CONFRESA;MT;118246,462876549
2301;-9,85;-58,41;COTRIGUACU - MT;COTRIGUACU;MT;30410,0175925084
2302;-15,59;-56,09;CUIABA - MT;CUIABA;MT;433355
2303;-14,74;-57,05;DENISE - MT;DENISE;MT;53828,8412703637
2304;-14,4;-56,44;DIAMANTINO - MT;DIAMANTINO;MT;106383,772513492
2305;-15,81;-54,91;DOM AQUINO - MT;DOM AQUINO;MT;54354,0001059417
2306;-12,38;-54,92;FELIZ NATAL - MT;FELIZ NATAL;MT;24732,0241558487
2307;-15,44;-58,74;FIGUEIROPOLIS D'OESTE - MT;FIGUEIROPOLIS D'OESTE;MT;32435,5307224314
2308;-13,24;-53,08;GAUCHA DO NORTE - MT;GAUCHA DO NORTE;MT;21999,288788257
